11-26-2012	47	225
11-19-2012	47	228
11-12-2012	47	225
11-05-2012	47	221
10-29-2012	47	223
10-22-2012	47	219
10-15-2012	48	171
10-08-2012	46	215
10-01-2012	47	217
09-24-2012	49	216
09-17-2012	49	217
09-10-2012	50	219
08-27-2012	53	163
08-20-2012	53	165
08-13-2012	52	164
08-06-2012	48	164
07-30-2012	48	163
07-23-2012	50	159
07-16-2012	45	150
07-09-2012	45	147
06-25-2012	42	149
06-18-2012	41	149
06-11-2012	40	146
05-28-2012	37	155
05-21-2012	49	151
05-14-2012	48	152
05-07-2012	47	153
04-30-2012	47	150
04-23-2012	55	149
04-16-2012	42	153
04-09-2012	46	172
04-02-2012	46	173
03-19-2012	50	175
03-05-2012	50	177
02-27-2012	50	177
02-20-2012	53	177
02-13-2012	63	173
02-06-2012	60	174
01-30-2012	60	175
01-16-2012	50	174
01-09-2012	57	202
01-02-2012	47	202
12-26-2011	47	201
12-19-2011	47	201
12-12-2011	47	200
12-05-2011	47	200
11-28-2011	53	201
11-21-2011	53	201
11-14-2011	53	199
11-07-2011	53	197
10-31-2011	52	201
10-24-2011	50	196
10-17-2011	56	288
10-10-2011	46	287
10-03-2011	43	288
09-26-2011	40	291
09-19-2011	41	292
09-12-2011	42	290
08-29-2011	53	590
08-22-2011	53	591
08-15-2011	53	584
08-08-2011	55	584
08-01-2011	55	582
07-25-2011	55	587
07-18-2011	61	874
07-11-2011	59	875
07-04-2011	54	877
06-20-2011	58	928
06-13-2011	57	923
06-06-2011	60	924
05-23-2011	67	1049
05-16-2011	69	1044
05-09-2011	66	1043
05-02-2011	68	1132
04-25-2011	52	1140
04-18-2011	65	1142
04-11-2011	66	1141
04-04-2011	63	1133
03-21-2011	66	1151
03-07-2011	64	1149
02-28-2011	63	1149
02-21-2011	61	1145
02-14-2011	61	1144
02-07-2011	63	1141
01-31-2011	63	1137
01-17-2011	77	1192
01-10-2011	78	1196
01-03-2011	84	-
12-27-2010	84	-
12-20-2010	84	-
12-13-2010	84	-
12-06-2010	84	-
11-29-2010	83	-
11-22-2010	81	-
11-15-2010	82	-
11-08-2010	81	-
11-01-2010	80	-
10-25-2010	81	-
10-18-2010	82	-
10-11-2010	96	-
10-04-2010	94	-
09-27-2010	102	-
09-20-2010	100	-
09-13-2010	96	798
08-30-2010	96	631
08-23-2010	95	627
08-16-2010	97	623
08-09-2010	96	622
08-02-2010	95	614
07-26-2010	95	611
07-19-2010	96	611
07-12-2010	96	609
07-05-2010	111	612
06-21-2010	113	612
06-14-2010	114	615
06-07-2010	113	623
05-24-2010	114	631
05-17-2010	114	639
05-10-2010	116	635
05-03-2010	110	301
04-26-2010	144	299
04-19-2010	143	294
04-12-2010	145	293
04-05-2010	166	291
03-22-2010	169	294
03-08-2010	172	296
03-01-2010	171	297
02-22-2010	192	297
02-15-2010	191	293
02-08-2010	186	281
02-01-2010	187	283
01-18-2010	186	284
01-11-2010	185	285
01-04-2010	185	285
12-28-2009	185	285
12-21-2009	185	287
